Model,Skewness,Kurtosis
model_AR_h1,-1.111283780335372,3.547132857659144
model_AR_h2,0.1517320285832774,0.6839246746929328
model_ADL_bridge_m1,-0.43089833836827396,2.32270763764247
model_ADL_bridge_m2,-0.19291351368804177,2.012789010462537
model_ADL_bridge_m3,0.447508850450318,-0.14733562234814812
model_ADL_bridge_m4,0.23390725178292632,1.2586346983383905
model_ADL_bridge_m5,-0.15017390326266228,1.8037850610144615
model_ADL_bridge_m6,-0.5452974829672899,2.417898485011219
model_RF_h1,-1.406201878722698,3.335932212321545
model_RF_h2,0.0548569732430303,2.400388133166034
model_RF_bridge_m1,0.0022600003445750866,0.8025052743268044
model_RF_bridge_m2,-0.1564502340623192,0.275506270598163
model_RF_bridge_m3,0.24445937868233744,1.4815505658703891
model_RF_bridge_m4,-0.8898779186110034,2.449575172900084
model_RF_bridge_m5,-0.40254806550930977,1.502723514017318
model_RF_bridge_m6,-0.0902463895111204,3.069091716763948
combined_bridge_forecast_m1,-0.080835154889146,1.6401173631870867
combined_bridge_forecast_m2,-0.05741946032370932,1.3052630730639905
combined_bridge_forecast_m3,0.5765637320845324,0.15982087351891172
combined_bridge_forecast_m4,-0.3113232661682177,1.5851228669091961
combined_bridge_forecast_m5,-0.23582988100759816,1.6095201673154165
combined_bridge_forecast_m6,-0.2881417741407131,2.6951065397044465
